                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0719,                 3.5203,                 3.7925,                  0.365,                0.30387,                0.22903,                 0.0779,                 2.6628,                 2.3661,                 3.0544,             0.00066337,             0.00066337,             0.00066337
                      2,                 2.4665,                 2.1479,                 3.0154,                0.49323,                0.40687,                0.38651,                0.16532,                 2.1109,                 1.8661,                 2.7295,              0.0013256,              0.0013256,              0.0013256
                      3,                 2.1725,                 1.8689,                 2.8212,                0.60115,                0.45521,                0.49374,                0.22242,                 1.9915,                 1.6533,                 2.6016,              0.0019835,              0.0019835,              0.0019835
                      4,                 2.0028,                 1.6813,                  2.699,                0.57747,                0.46961,                0.47757,                0.22065,                 1.8887,                  1.607,                 2.5721,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.9015,                 1.5742,                 2.6325,                0.63549,                0.52014,                0.57215,                0.26796,                 1.8647,                 1.4494,                 2.5604,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.8434,                 1.5001,                 2.5975,                0.64726,                0.56209,                0.60464,                0.29142,                 1.7699,                 1.4792,                 2.4464,              0.0019736,              0.0019736,              0.0019736
                      7,                  1.812,                 1.4376,                 2.5623,                0.69237,                0.55818,                0.62366,                  0.308,                  1.741,                 1.3534,                  2.443,               0.001967,               0.001967,               0.001967
                      8,                 1.7833,                 1.3954,                  2.491,                0.70998,                0.59177,                0.66146,                0.32274,                 1.7352,                  1.335,                 2.4634,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.7507,                 1.3449,                 2.4623,                0.70467,                0.60933,                0.67185,                0.34111,                 1.6922,                 1.2322,                  2.378,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.7152,                 1.3195,                 2.4424,                0.74578,                 0.5973,                0.67953,                0.34522,                 1.6909,                  1.209,                 2.3507,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.7148,                  1.287,                 2.4184,                0.75501,                0.60538,                0.69532,                0.34835,                 1.7187,                 1.1683,                 2.3762,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.6839,                 1.2582,                  2.369,                0.73638,                0.61561,                0.70859,                0.34721,                 1.6953,                   1.15,                 2.3818,               0.001934,               0.001934,               0.001934
                     13,                 1.6398,                  1.215,                 2.3397,                0.51497,                0.64579,                0.45083,                0.21352,                 1.7007,                 1.5332,                  2.339,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.6437,                 1.1885,                 2.3372,                0.77366,                0.62983,                 0.7261,                 0.3612,                 1.6729,                  1.128,                 2.3503,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.6108,                 1.1697,                   2.33,                0.76813,                 0.6415,                0.73505,                0.37286,                 1.6548,                 1.0931,                 2.3637,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.6082,                 1.1692,                 2.3276,                0.74633,                0.65021,                0.73009,                0.37357,                 1.6185,                   1.12,                 2.3468,              0.0019076,              0.0019076,              0.0019076
                     17,                  1.607,                  1.145,                 2.2887,                0.75883,                0.66237,                0.74597,                0.37566,                 1.6387,                 1.0653,                 2.3451,               0.001901,               0.001901,               0.001901
                     18,                 1.5832,                  1.137,                 2.2756,                0.76151,                0.65193,                0.73872,                0.38109,                 1.5817,                  1.058,                 2.2811,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.5516,                 1.1113,                 2.3001,                0.80179,                  0.655,                0.75952,                0.39789,                  1.579,                 1.0506,                 2.3038,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.5683,                 1.1102,                 2.2225,                0.75783,                0.67045,                0.76055,                 0.3966,                 1.5756,                 1.0309,                 2.2904,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.5444,                 1.0904,                 2.2622,                0.78427,                0.66728,                0.76712,                0.39379,                 1.5859,                 1.0224,                 2.2795,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.5226,                 1.0706,                 2.2488,                0.78635,                0.65623,                 0.7702,                0.39839,                 1.6074,                0.99764,                 2.3121,               0.001868,               0.001868,               0.001868
                     23,                 1.5322,                 1.0685,                 2.2293,                0.78552,                0.67219,                0.76713,                0.39029,                  1.604,                 1.0173,                 2.2802,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5443,                 1.0736,                 2.2212,                0.76507,                0.70969,                0.77603,                  0.407,                 1.5873,                 1.0249,                 2.2848,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.5117,                 1.0509,                 2.2028,                0.78122,                 0.6949,                0.77892,                0.41009,                 1.5747,                0.97545,                 2.2483,              0.0018482,              0.0018482,              0.0018482
